stratum,bin_low,bin_high,n,confidence,accuracy,acc_ci_low,acc_ci_high,gap
overall,0.0,0.1,2,0.0,0.5,0.09453120573423074,0.9054687942657693,0.5
overall,0.1,0.2,67,0.1751345573920678,0.13432835820895522,0.07231091664295486,0.23600372261337027,0.04080619918311257
overall,0.2,0.30000000000000004,5050,0.2871285557305653,0.2310891089108911,0.21967013644430108,0.24291688332466208,0.05603944681967418
overall,0.30000000000000004,0.4,5282,0.3672492965348325,0.27584248390761074,0.26395564538378796,0.28805513313692904,0.09140681262722178
overall,0.4,0.5,2581,0.4550305024337052,0.43355288647810925,0.41454704938283277,0.4527562241585587,0.02147761595559594
overall,0.5,0.6000000000000001,1014,0.5443188830571156,0.5226824457593688,0.49191139812254525,0.5532822807174748,0.02163643729774678
overall,0.6000000000000001,0.7000000000000001,2231,0.649561320371183,0.6391752577319587,0.6190240609058564,0.6588479991228204,0.010386062639224258
overall,0.7000000000000001,0.8,1002,0.7874335515327139,0.7395209580838323,0.7114673184481195,0.7657450650648641,0.047912593448881546
overall,0.8,0.9,2906,0.8565846409942613,0.8527185134205093,0.8393681731764124,0.8651375633082234,0.003866127573752043
overall,0.9,1.0,7525,0.96595197521317,0.9588039867109635,0.9540745123650299,0.9630652677415349,0.007147988502206548
cross_lab,0.2,0.30000000000000004,469,0.28957825381353863,0.2857142857142857,0.24669943976009617,0.32821093188685985,0.0038639680992529346
cross_lab,0.30000000000000004,0.4,811,0.37579617393299414,0.33785450061652283,0.30613462339147346,0.37110320348513715,0.0379416733164713
cross_lab,0.4,0.5,1662,0.4551976109985756,0.39951865222623345,0.3762285601962198,0.42327216766028947,0.055678958772342135
cross_lab,0.5,0.6000000000000001,660,0.54176504020225,0.47878787878787876,0.440909454610012,0.5169117998055505,0.06297716141437126
cross_lab,0.6000000000000001,0.7000000000000001,1602,0.6490172079499371,0.6435705368289638,0.6197994632750016,0.6666547177858219,0.005446671120973301
cross_lab,0.7000000000000001,0.8,693,0.789030418325743,0.7373737373737373,0.7033656043420831,0.7687647430066324,0.05165668095200571
cross_lab,0.8,0.9,2062,0.8565451714612833,0.8603297769156159,0.8446966986231392,0.8746227794786785,0.003784605454332568
cross_lab,0.9,1.0,5665,0.967011727513491,0.9740511915269197,0.96957893255949,0.9778809741984852,0.007039464013428698
cross_context,0.2,0.30000000000000004,305,0.2895600787918579,0.2721311475409836,0.22524868005367443,0.3246822115734758,0.017428931250874302
cross_context,0.30000000000000004,0.4,421,0.3755199173745427,0.3990498812351544,0.35338789559825445,0.44653746894608815,0.02352996386061168
cross_context,0.4,0.5,825,0.4533612163201706,0.5139393939393939,0.47984852148177176,0.5479010556601887,0.060578177619223295
cross_context,0.5,0.6000000000000001,282,0.5404422781998626,0.6382978723404256,0.5807060243997026,0.6921725157596126,0.097855594140563
cross_context,0.6000000000000001,0.7000000000000001,600,0.6504910101120872,0.6333333333333333,0.594039718833861,0.6709304942291522,0.017157676778753905
cross_context,0.7000000000000001,0.8,276,0.7885640330220585,0.7644927536231884,0.7110153353908785,0.8107086458064471,0.024071279398870105
cross_context,0.8,0.9,822,0.8564533983762559,0.8369829683698297,0.8101740601017104,0.8606568773413126,0.01947043000642623
cross_context,0.9,1.0,1855,0.96262381515643,0.9121293800539083,0.8983795739386641,0.9241757831868672,0.05049443510252172
cross_cell_type,0.4,0.5,64,0.47850719301787537,0.40625,0.2945690924971961,0.5285479187139549,0.07225719301787537
cross_cell_type,0.5,0.6000000000000001,62,0.5894169229216868,0.532258064516129,0.40984032508164014,0.6509116702666583,0.05715885840555779
cross_cell_type,0.6000000000000001,0.7000000000000001,27,0.6640486801199853,0.5555555555555556,0.3731302451322448,0.72414141822977,0.10849312456442972
cross_cell_type,0.7000000000000001,0.8,33,0.7444444127864037,0.5757575757575758,0.4080726333731245,0.7276440336658979,0.16868683702882792
cross_cell_type,0.8,0.9,22,0.8651877141306804,0.7272727272727273,0.5184826598759762,0.8684923971201053,0.13791498685795311
cross_cell_type,0.9,1.0,5,1.0,1.0,0.5655175352168251,1.0,0.0
