study,auroc,n_pairs,phenotype,library,quality
30773463,0.2611,21,drug_response,other,0.850
32259488,0.2763,27,fitness,Brunello,0.850
30862715,0.2895,21,drug_response,GeCKO,0.850
29463564,0.2917,13,drug_response,other,0.510
33872695,0.3438,17,fitness,Tko,0.510
40683967,0.3766,46,drug_response,GeCKO,0.510
35420441,0.3812,126,other,GeCKO,0.850
28783722,0.3944,69,fitness,GeCKO,0.510
35879413,0.3987,94,other,other,0.671
26627737,0.4017,191,fitness,Tko,0.850
27667664,0.4062,12,fitness,Avana,0.850
29038160,0.4127,16,fitness,other,0.850
27869803,0.4137,73,fitness,Tko,0.850
34662547,0.4167,20,drug_response,other,0.850
30991026,0.4255,48,drug_response,GeCKO,0.850
37883554,0.4292,23,fitness,Brunello,0.850
33122441,0.4333,18,other,other,0.850
29987050,0.4341,214,fitness,GeCKO,0.850
33382968,0.4545,14,other,Brunello,0.782
37163373,0.4556,53,drug_response,other,0.850
30111820,0.4562,80,fitness,Brunello,0.850
https://www.biorxiv.org/content/10.1101/2020.08.27.270819v1.full,0.4562,99,drug_response,Brunello,0.850
36548402,0.4636,67,fitness,Brunello,0.850
36055241,0.4649,69,fitness,Brunello,0.850
30962421,0.4697,70,drug_response,Brunello,0.850
35469023,0.4728,203,other,Brunello,0.578
28474669,0.4764,210,fitness,other,0.850
36731340,0.4774,1144,drug_response,Brunello,0.850
33355125,0.4778,54,drug_response,GeCKO,0.850
30995489,0.4783,1283,fitness,Tko,0.850
31921143,0.4791,2288,fitness,GeCKO,0.850
34320214,0.4814,177,drug_response,Tko,0.812
32755594,0.4830,27,drug_response,Tko,0.765
31741433,0.4833,21,drug_response,other,0.510
40372436,0.4870,33,other,Brunello,0.782
27018887,0.4896,87,drug_response,other,0.850
27760321,0.4897,75,fitness,other,0.850
34155407,0.4905,207,fitness,other,0.850
35763353,0.4908,183,drug_response,Avana,0.850
27260156,0.4916,286,fitness,GeCKO,0.850
30532030,0.4930,272,drug_response,Tko,0.850
26780180,0.4931,34,fitness,Avana,0.850
31406246,0.4940,588,drug_response,GeCKO,0.850
29083409,0.4964,1721,fitness,Avana,0.850
28611215,0.4979,251,fitness,GeCKO,0.850
33257658,0.4985,103,drug_response,Brunello,0.850
27159373,0.5000,73,fitness,other,0.850
36744886,0.5000,19,other,other,0.850
34805786,0.5000,40,drug_response,other,0.510
31437751,0.5000,233,fitness,GeCKO,0.510
31727847,0.5000,12,fitness,other,0.850
31160565,0.5000,72,fitness,Avana,0.850
33228647,0.5000,18,fitness,other,0.850
26472758,0.5000,70,fitness,other,0.850
31451760,0.5000,10,drug_response,other,0.850
36841242,0.5000,19,drug_response,other,0.737
33649592,0.5000,13,fitness,other,0.850
31558468,0.5024,29,fitness,GeCKO,0.850
32268084,0.5026,218,fitness,GeCKO,0.850
34253920,0.5066,591,fitness,Brunello,0.850
26673326,0.5075,129,fitness,GeCKO,0.850
31508283,0.5104,136,drug_response,GeCKO,0.510
33813748,0.5107,51,other,GeCKO,0.510
10.1101/2023.01.23.525275,0.5108,121,other,GeCKO,0.850
39316623,0.5130,88,other,other,0.850
36652375,0.5132,23,drug_response,Brunello,0.850
31462500,0.5137,988,drug_response,Avana,0.850
32990596,0.5142,56,fitness,other,0.850
36725843,0.5161,33,drug_response,GeCKO,0.850
33660365,0.5167,32,drug_response,other,0.850
33110234,0.5195,142,drug_response,GeCKO,0.850
33657372,0.5240,98,drug_response,Brunello,0.510
35439318,0.5257,399,drug_response,Brunello,0.850
35723366,0.5266,1005,fitness,Tko,0.850
24336571,0.5294,41,fitness,GeCKO,0.510
29662178,0.5318,113,fitness,other,0.850
31316073,0.5347,179,fitness,other,0.850
32416067,0.5358,63,fitness,other,0.850
31048321,0.5361,158,drug_response,Brunello,0.850
28985567,0.5411,517,fitness,GeCKO,0.850
33189395,0.5424,184,drug_response,Brunello,0.850
10.1101/2024.05.08.593110,0.5526,22,other,Brunello,0.850
35657206,0.5550,63,drug_response,Brunello,0.510
33539788,0.5556,20,drug_response,other,0.765
36920785,0.5574,417,drug_response,Tko,0.850
29526696,0.5587,76,fitness,other,0.850
36584827,0.5594,120,drug_response,GeCKO,0.510
36002574,0.5648,595,fitness,Brunello,0.850
31540829,0.5714,14,other,other,0.850
32238925,0.5750,891,fitness,other,0.850
36650183,0.5795,15,drug_response,other,0.510
28162770,0.5819,755,fitness,other,0.850
32649862,0.5830,87,drug_response,Tko,0.828
36820830,0.5833,16,drug_response,Tko,0.680
36134452,0.5857,35,fitness,other,0.510
30898113,0.5913,67,drug_response,Brunello,0.850
36597481,0.5952,141,fitness,Tko,0.850
37047518,0.5962,307,drug_response,Tko,0.850
30194290,0.6086,46,fitness,other,0.850
30971826,0.6116,1673,fitness,other,0.850
35559673,0.6190,365,fitness,Tko,0.850
29507424,0.6302,35,fitness,other,0.850
34373451,0.6368,161,fitness,Brunello,0.850
35688159,0.6459,47,fitness,GeCKO,0.850
38291084,0.6500,17,drug_response,Tko,0.832
32542389,0.6500,12,fitness,Brunello,0.850
37866880,0.6905,13,fitness,other,0.850
36991492,0.7000,10,fitness,other,0.833
29576454,0.7743,32,fitness,other,0.850
